# Max HMW Mai-Sept Illmitz 2012
# mu g/m^3
 1.05. 136
 2.05. 156
 3.05. 107
 4.05. 102
 5.05. 129
 6.05. 110
 7.05. 94 
 8.05. 117
 9.05. 124
10.05. 141
11.05. 139
12.05. 111
13.05. 110
14.05. 77 
15.05. 119
16.05. 117
17.05. 100
18.05. 123
19.05. 134
20.05. 128
21.05. 120
22.05. 86 
23.05. 109
24.05. 121
25.05. 137
26.05. 132
27.05. 132
28.05. 123
29.05. 132
30.05. 128
31.05. 128
 1.06. 92 
 2.06. 81 
 3.06. 112
 4.06. 91 
 5.06. 86 
 6.06. 100
 7.06. 124
 8.06. 117
 9.06. 87 
10.06. 86 
11.06. 111
12.06. 90 
13.06. 83 
14.06. 110
15.06. 116
16.06. 123
17.06. 151
18.06. 126
19.06. 187
20.06. 137
21.06. 137
22.06. 117
23.06. 119
24.06. 116
25.06. 95 
26.06. 116
27.06. 134
28.06. 128
29.06. 140
30.06. 153
 1.07. 140
 2.07. 135
 3.07. 138
 4.07. 140
 5.07. 139
 6.07. 141
 7.07. 117
 8.07. 110
 9.07. 98 
10.07. 98 
11.07. 104
12.07. 81 
13.07. 40 
14.07. 84 
15.07. 72 
16.07. 80 
17.07. 76 
18.07. 71 
19.07. 114
20.07. 61 
21.07. 61 
22.07. 73 
23.07. 89 
24.07. 109
25.07. 79 
26.07. 110
27.07. 118
28.07. 109
29.07. 100
30.07. 82 
31.07. 104
 1.08. 105
 2.08. 112
 3.08. 105
 4.08. 106
 5.08. 104
 6.08. 114
 7.08. 92 
 8.08. 79 
 9.08. 117
10.08. 109
11.08. 75 
12.08. 94 
13.08. 107
14.08. 117
15.08. 134
16.08. 158
17.08. 132
18.08. 137
19.08. 132
20.08. 131
21.08. 139
22.08. 147
23.08. 145
24.08. 138
25.08. 135
26.08. 93 
27.08. 93 
28.08. 118
29.08. 139
30.08. 145
31.08. 88 
 1.09. 63 
 2.09. 124
 3.09. 115
 4.09. 111
 5.09. 149
 6.09. 93 
 7.09. 116
 8.09. 126
 9.09. 101
10.09. 109
11.09. 135
12.09. 124
13.09. 73 
14.09. 88 
15.09. 83 
16.09. 94 
17.09. 109
18.09. 113
19.09. 76 
20.09. 74 
21.09. 93 
22.09. 76 
23.09. 97 
24.09. 109
25.09. 97 
26.09. 87 
27.09. 80 
28.09. 91 
29.09. 52 
30.09. 85 
