# Lufttemperatur Wien/Hohe Warte
# Quelle: ZAMG
Jahr  Mittel Max    Min
1951  10.3  30.2   -5.4 
1952  9.3   33.9   -10.5 
1953  10.1  32.2   -12.5 
1954  8.8   31.3   -18.2 
1955  8.9   31.2   -11.2 
1956  8.3   31.6   -22.6 
1957  9.9   38.3   -13.7 
1958  9.7   33.0   -10.1 
1959  9.8   32.7   -9.6  
1960  9.5   30.4   -14.5 
1961  10.2  33.7   -15.0 
1962  8.6   34.1   -14.8 
1963  8.7   33.7   -16.8 
1964  9.1   33.5   -16.1 
1965  8.6   31.6   -12.0 
1966  10.1  30.8   -14.3 
1967  10.2  33.3   -10.4 
1968  9.7   34.3   -14.6 
1969  9.2   32.8   -17.2 
1970  9.2   31.9   -12.0 
1971  9.8   34.9   -15.3 
1972  9.3   31.7   -10.5 
1973  9.6   32.5   -10.4 
1974  10.2  36.1   -2.7  
1975  10.1  29.8   -11.5 
1976  9.6   34.0   -11.5 
1977  10.1  30.0   -8.1  
1978  9.1   30.0   -14.5 
1979  9.6   31.4   -12.8 
1980  8.7   30.6   -12.7 
1981  10.1  32.3   -13.9 
1982  10.0  32.0   -14.5 
1983  10.8  36.0   -10.9 
1984  9.4   33.2   -8.8  
1985  9.0   33.4   -19.6 
1986  9.6   32.7   -14.9 
1987  9.3   32.6   -19.4 
1988  10.4  36.0   -9.5  
1989  10.7  32.0   -9.9  
1990  10.9  33.5   -9.8  
1991  9.7   33.9   -15.9 
1992  11.1  36.4   -10.0 
1993  10.8  33.1   -13.9 
1994  11.8  34.4   -11.5 
1995  10.4  33.4   -10.8 
1996  8.9   31.2   -18.1 
1997  10.0  31.4   -10.2 
1998  10.8  35.2   -13.7 
1999  10.7  35.3   -9.0  
2000  11.7  37.0   -9.8  
2001  10.6  35.4   -13.6 
2002  11.3  35.1   -12.3 
2003  11.0  37.6   -13.7 
2004  10.4  32.4   -12.3 
2005  10.2  35.6   -10.6 
2006  10.7  34.9   -16.1 
2007  11.7  36.8   -7.7  
2008  11.4  32.4   -9.0  
2009  11.0  33.5   -12.4 
2010  9.9   34.1   -14.2 
2011  11.1  35.7   -9.9  
2012  11.3  36.3   -15.0
